Year,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
1992,United States,USA,9572148314112,256990608,655.71,244.63,32.993,1850.697,1091.239,2128.09,40.963,23.499,5167.481,6.17,21.95,27.54,23.16,17.26,22.9
1993,United States,USA,9834941382656,259532128,648.69,247.77,34.838,1908.247,1119.02,2141.496,40.82,22.922,5267.343,6.27,22.37,27.49,23.28,17.48,23.1
1994,United States,USA,10232022433792,262241216,661.02,254.89,36.31,1920.743,1145.894,2190.663,40.965,24.249,5358.824,6.13,22.39,27.9,23.72,17.28,23.34
1995,United States,USA,10510263123968,265163744,658.8,257.15,37.075,1942.302,1194.544,2180.865,39.41,27.306,5421.502,5.92,22.01,28.34,23.37,16.77,23.12
1996,United States,USA,10909166600192,268335008,657.41,264.38,37.309,2024.058,1215.071,2267.652,38.032,28.46,5610.582,5.84,22.37,27.6,23.6,16.03,23.23
1997,United States,USA,11398757220352,271713632,647.6,257.63,38.561,2067.227,1223.335,2290.998,38.183,28.161,5686.465,5.85,22.97,27.7,23.47,15.72,23.4
1998,United States,USA,11906028929024,275175328,636.24,254.87,39.461,2094.976,1200.762,2330.846,35.863,29.142,5731.05,6.03,23.91,26.75,23.66,15.49,23.68
1999,United States,USA,12463818932224,278548160,624.01,253.31,40.239,2100.317,1204.715,2394.437,35.834,29.127,5804.669,5.87,24.16,26.06,23.77,16,23.67
2000,United States,USA,12973842104320,281710912,619.46,252.16,41.445,2179.839,1257.599,2469.14,36.182,26.303,6010.508,5.78,24.19,26.56,24.01,13.42,23.82
2001,United States,USA,13100471287808,284608000,611.81,246.2,41.613,2115.06,1204.741,2481.985,35.931,25.552,5904.882,5.56,23.34,25.19,23.92,13.22,23.2
2002,United States,USA,13334491430912,287279328,605.54,247.74,43.164,2119.322,1244.766,2476.57,36.572,26.377,5946.771,5.47,22.41,25.28,23.88,12.75,22.84
2003,United States,USA,13708808945664,289815552,605.88,254.74,43.349,2158.577,1211.115,2537.209,36.43,25.157,6011.837,5.11,21.06,23.76,23.79,12.63,21.97
2004,United States,USA,14227881328640,292354656,605.31,255.76,45.886,2190.331,1217.622,2596.286,36.825,27.057,6114.007,5.06,20.1,23.12,23.57,11.83,21.36
2005,United States,USA,14703731408896,294993504,607.07,257.76,46.194,2214.837,1199.296,2608.477,37.244,28.473,6134.521,4.81,19.14,22.23,23.49,11.21,20.72
2006,United States,USA,15095884152832,297758976,608.13,263.1,46.851,2183.112,1182.917,2570.893,37.824,30.071,6051.668,4.47,17.86,21.43,22.94,11.34,19.79
2007,United States,USA,15364464312320,300608448,613.66,270.59,45.509,2208.712,1257.55,2551.51,38.375,29.348,6131.004,4.05,17.24,22.04,22.69,11.01,19.47
2008,United States,USA,15319731011584,303486016,622.1,255.99,41.416,2174.329,1266.645,2363.676,39.847,28.165,5914.078,3.64,16.43,21.57,21.1,10.99,18.44
2009,United States,USA,14894294368256,306307552,611.03,247.74,29.615,1905.943,1245.742,2233.033,39.071,24.805,5478.209,2.53,14.59,21.63,20.3,10.63,17.33
2010,United States,USA,15270622003200,309011456,628.18,254.67,31.449,2013.304,1308.832,2250.504,41.343,30.355,5675.787,2.52,14.41,21.09,19.9,11.26,17.02
2011,United States,USA,15509302018048,311584064,633.4,264.56,32.208,1903.555,1327.528,2201.747,45.542,29.593,5540.173,2.4,12.88,20.81,19.42,12.85,16.07
