"Data.Precipitation","Date.Full","Date.Month","Date.Week of","Date.Year","Station.City","Station.Code","Station.Location","Station.State","Data.Temperature.Avg Temp","Data.Temperature.Max Temp","Data.Temperature.Min Temp","Data.Wind.Direction","Data.Wind.Speed"
"0.59","2016-01-03","1","3","2016","New Orleans","MSY","New Orleans, LA","Louisiana","50","54","46","13","11.93"
"0.75","2016-01-10","1","10","2016","New Orleans","MSY","New Orleans, LA","Louisiana","54","61","47","14","8.84"
"1.4","2016-01-17","1","17","2016","New Orleans","MSY","New Orleans, LA","Louisiana","53","62","44","16","6.21"
"0.33","2016-01-24","1","24","2016","New Orleans","MSY","New Orleans, LA","Louisiana","52","60","43","17","9.07"
"1.34","2016-01-31","1","31","2016","New Orleans","MSY","New Orleans, LA","Louisiana","58","68","47","21","8.45"
"1.05","2016-02-07","2","7","2016","New Orleans","MSY","New Orleans, LA","Louisiana","55","66","49","19","8.57"
"0.0","2016-02-14","2","14","2016","New Orleans","MSY","New Orleans, LA","Louisiana","56","66","45","22","9.62"
"0.64","2016-02-21","2","21","2016","New Orleans","MSY","New Orleans, LA","Louisiana","63","74","52","15","6.22"
"2.03","2016-02-28","2","28","2016","New Orleans","MSY","New Orleans, LA","Louisiana","58","67","48","18","8.35"
"0.03","2016-03-06","3","6","2016","New Orleans","MSY","New Orleans, LA","Louisiana","64","74","53","15","5.66"
"1.83","2016-03-13","3","13","2016","New Orleans","MSY","New Orleans, LA","Louisiana","72","77","66","14","12.64"
"2.29","2016-03-20","3","20","2016","New Orleans","MSY","New Orleans, LA","Louisiana","70","77","61","22","9.07"
"2.06","2016-03-27","3","27","2016","New Orleans","MSY","New Orleans, LA","Louisiana","63","71","55","16","7.2"
"4.0","2016-04-03","4","3","2016","New Orleans","MSY","New Orleans, LA","Louisiana","64","73","55","34","8.6"
"0.0","2016-04-10","4","10","2016","New Orleans","MSY","New Orleans, LA","Louisiana","68","78","57","23","5.54"
"2.74","2016-04-17","4","17","2016","New Orleans","MSY","New Orleans, LA","Louisiana","71","75","66","10","10.58"
"0.52","2016-04-24","4","24","2016","New Orleans","MSY","New Orleans, LA","Louisiana","73","81","66","20","7.4"
"1.98","2016-05-01","5","1","2016","New Orleans","MSY","New Orleans, LA","Louisiana","74","78","69","13","5.8"
"0.01","2016-05-08","5","8","2016","New Orleans","MSY","New Orleans, LA","Louisiana","71","79","63","21","6.18"
"0.0","2016-05-15","5","15","2016","New Orleans","MSY","New Orleans, LA","Louisiana","79","86","71","20","6.57"
"2.11","2016-05-22","5","22","2016","New Orleans","MSY","New Orleans, LA","Louisiana","78","85","71","17","5.31"
"0.07","2016-05-29","5","29","2016","New Orleans","MSY","New Orleans, LA","Louisiana","80","88","72","12","6.95"
"4.01","2016-06-05","6","5","2016","New Orleans","MSY","New Orleans, LA","Louisiana","81","89","73","15","6.0"
"0.93","2016-06-12","6","12","2016","New Orleans","MSY","New Orleans, LA","Louisiana","84","91","77","9","4.34"
"3.69","2016-06-19","6","19","2016","New Orleans","MSY","New Orleans, LA","Louisiana","84","91","76","21","5.18"
"0.01","2016-06-26","6","26","2016","New Orleans","MSY","New Orleans, LA","Louisiana","86","94","77","19","3.55"
"0.14","2016-07-03","7","3","2016","New Orleans","MSY","New Orleans, LA","Louisiana","88","96","79","24","3.06"
"1.61","2016-07-10","7","10","2016","New Orleans","MSY","New Orleans, LA","Louisiana","88","95","80","19","6.84"
"1.47","2016-07-17","7","17","2016","New Orleans","MSY","New Orleans, LA","Louisiana","85","92","78","16","2.37"
"0.4","2016-07-24","7","24","2016","New Orleans","MSY","New Orleans, LA","Louisiana","87","94","80","14","2.45"
"0.83","2016-07-31","7","31","2016","New Orleans","MSY","New Orleans, LA","Louisiana","86","92","78","19","3.12"
"2.69","2016-08-07","8","7","2016","New Orleans","MSY","New Orleans, LA","Louisiana","87","95","79","25","2.64"
"4.61","2016-08-14","8","14","2016","New Orleans","MSY","New Orleans, LA","Louisiana","83","88","77","24","7.77"
"2.69","2016-08-21","8","21","2016","New Orleans","MSY","New Orleans, LA","Louisiana","86","92","79","16","4.68"
"1.88","2016-08-28","8","28","2016","New Orleans","MSY","New Orleans, LA","Louisiana","86","93","79","15","3.25"
"0.36","2016-09-04","9","4","2016","New Orleans","MSY","New Orleans, LA","Louisiana","89","96","81","6","4.65"
"3.3","2016-09-11","9","11","2016","New Orleans","MSY","New Orleans, LA","Louisiana","84","91","77","12","3.15"
"0.65","2016-09-18","9","18","2016","New Orleans","MSY","New Orleans, LA","Louisiana","84","90","78","11","5.81"
"0.32","2016-09-25","9","25","2016","New Orleans","MSY","New Orleans, LA","Louisiana","86","94","78","18","2.7"
"0.0","2016-10-02","10","2","2016","New Orleans","MSY","New Orleans, LA","Louisiana","78","86","69","4","3.95"
"0.0","2016-10-09","10","9","2016","New Orleans","MSY","New Orleans, LA","Louisiana","81","89","73","5","7.91"
"0.0","2016-10-16","10","16","2016","New Orleans","MSY","New Orleans, LA","Louisiana","79","88","69","8","5.58"
"0.05","2016-10-23","10","23","2016","New Orleans","MSY","New Orleans, LA","Louisiana","76","84","67","7","5.82"
"0.0","2016-10-30","10","30","2016","New Orleans","MSY","New Orleans, LA","Louisiana","74","84","64","6","4.0"
"0.01","2016-11-06","11","6","2016","New Orleans","MSY","New Orleans, LA","Louisiana","76","85","67","7","6.3"
"2.06","2016-11-13","11","13","2016","New Orleans","MSY","New Orleans, LA","Louisiana","67","72","61","8","7.17"
"0.05","2016-11-20","11","20","2016","New Orleans","MSY","New Orleans, LA","Louisiana","62","73","51","19","4.91"
"0.0","2016-11-27","11","27","2016","New Orleans","MSY","New Orleans, LA","Louisiana","60","71","49","7","4.28"
"0.98","2016-12-04","12","4","2016","New Orleans","MSY","New Orleans, LA","Louisiana","58","65","52","5","8.27"
"2.31","2016-12-11","12","11","2016","New Orleans","MSY","New Orleans, LA","Louisiana","54","60","47","9","7.65"
"1.98","2016-12-18","12","18","2016","New Orleans","MSY","New Orleans, LA","Louisiana","63","72","53","20","7.58"
"0.01","2016-12-25","12","25","2016","New Orleans","MSY","New Orleans, LA","Louisiana","57","65","49","7","6.14"
