Song,Album,TimePlayed,SpotifyStreams
"I'm Not Okay (I Promise)","Three Cheers for Sweet Revenge",694,544686218
"Helena","Three Cheers for Sweet Revenge",679,530711337
"Give 'Em Hell Kid","Three Cheers for Sweet Revenge",521,74527642
"Welcome to the Black Parade","The Black Parade",467,867576576
"You Know What They Do to Guys Like Us in Prison","Three Cheers for Sweet Revenge",456,121994074
"Teenagers","The Black Parade",443,1085317183
"Mama","The Black Parade",439,198336111
"Famous Last Words","The Black Parade",412,362234233
"Thank You for the Venom","Three Cheers for Sweet Revenge",400,103243162
"Cancer","The Black Parade",359,268057564
"Cemetery Drive","Three Cheers for Sweet Revenge",339,83152766
"House of Wolves","The Black Parade",327,102336055
"The Ghost of You","Three Cheers for Sweet Revenge",289,211721446
"Our Lady of Sorrows","I Brought You My Bullets, You Brought Me Your Love",283,24676384
"Dead!","The Black Parade",248,201047442
"This Is How I Disappear","The Black Parade",246,103004358
"Na Na Na (Na Na Na Na Na Na Na Na Na)","Danger Days",225,285698953
"Vampires Will Never Hurt You","I Brought You My Bullets, You Brought Me Your Love",220,44229339
"I Don't Love You","The Black Parade",206,366831720
"Headfirst for Halos","Three Cheers for Sweet Revenge",186,26461793
"Honey, This Mirror Isn't Big Enough for the Two of Us","I Brought You My Bullets, You Brought Me Your Love",182,44092660
"Sleep","The Black Parade",181,57979622
"Planetary (GO!)","Danger Days",178,63080991
"The Sharpest Lives","The Black Parade",161,133649299
"It's Not a Fashion Statement, It's a Fucking Deathwish","Three Cheers for Sweet Revenge",159,54276356
"Hang 'Em High","Three Cheers for Sweet Revenge",153,39213393
"DESTROYA","Danger Days",151,35355457
"The Only Hope fo Me Is You","Danger Days",138,30186842
"Vampire Money","Danger Days",129,39409135
"To the End","Three Cheers for Sweet Revenge",127,65842213
"Disenchanted","The Black Parade",114,240882886
"The Kids From Yesterday","Danger Days",103,34267930
"The End.","The Black Parade",98,86639239
"Summertime","Danger Days",97,51182900
"The Jetset Life Is Gonna Kill You","Three Cheers for Sweet Revenge",93,46936795
"I Never Told You What I Do for a Living","Three Cheers for Sweet Revenge",92,46808168
"SING","Danger Days",82,86362825
"The Foundations of Decay","Other",69,52169964
"Bulletproof Heart","Danger Days",67,66233243
"Boy Division","Conventional Weapons",58,41591833
"This Is the Best Day Ever","I Brought You My Bullets, You Brought Me Your Love",57,11018880
"Interlude","Three Cheers for Sweet Revenge",55,24206487
"Romance","I Brought You My Bullets, You Brought Me Your Love",55,11615631
"S/C/A/R/E/C/R/O/W","Danger Days",49,24407399
"Desert Song","Other",47,13805938
"Skylines and Turnstiles","I Brought You My Bullets, You Brought Me Your Love",45,14923642
"Heaven Help Us","Other",44,16248606
"Kill All Your Friends","Other",43,30648156
"My Way Home Is Through You","Other",39,14669804
