Song,Album,TimePlayed,SpotifyStreams,Duration
Helena,Three Cheers for Sweet Revenge,679,"530,711,337",3:06
Give 'Em Hell Kid,Three Cheers for Sweet Revenge,521,"74,527,642",2:18
To the End,Three Cheers for Sweet Revenge,127,"65,842,213",3:01
You Know What They Do to Guys Like Us in Prison,Three Cheers for Sweet Revenge,456,"121,994,074",2:53
I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,694,"544,686,218",3:24
The Ghost of You,Three Cheers for Sweet Revenge,289,"211,721,446",3:14
The Jetset Life Is Gonna Kill You,Three Cheers for Sweet Revenge,93,"46,936,795",3:37
Interlude,Three Cheers for Sweet Revenge,55,"24,206,487",0:57
Thank You for the Venom,Three Cheers for Sweet Revenge,400,"103,243,162",3:41
Hang 'Em High,Three Cheers for Sweet Revenge,153,"39,213,393",2:47
"It's Not a Fashion Statement, It's a Fucking Deathwish",Three Cheers for Sweet Revenge,159,"54,276,356",3:30
Cemetery Drive,Three Cheers for Sweet Revenge,339,"83,152,766",3:08
I Never Told You What I Do for a Living,Three Cheers for Sweet Revenge,92,"46,808,168",3:52
