Data.Precipitation,Date.Full,Date.Month,Date.Week of,Date.Year,Station.City,Station.Code,Station.Location,Station.State,Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
0.14,2016-07-03,7,3,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,88,96,79,24,3.06
1.61,2016-07-10,7,10,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,88,95,80,19,6.84
1.47,2016-07-17,7,17,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,85,92,78,16,2.37
0.4,2016-07-24,7,24,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,87,94,80,14,2.45
0.83,2016-07-31,7,31,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,92,78,19,3.12
2.69,2016-08-07,8,7,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,87,95,79,25,2.64
4.61,2016-08-14,8,14,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,83,88,77,24,7.77
2.69,2016-08-21,8,21,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,92,79,16,4.68
1.88,2016-08-28,8,28,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,93,79,15,3.25
0.36,2016-09-04,9,4,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,89,96,81,6,4.65
3.3,2016-09-11,9,11,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,84,91,77,12,3.15
0.65,2016-09-18,9,18,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,84,90,78,11,5.81
0.32,2016-09-25,9,25,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,94,78,18,2.7
0,2016-10-02,10,2,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,78,86,69,4,3.95
0,2016-10-09,10,9,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,81,89,73,5,7.91
0,2016-10-16,10,16,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,79,88,69,8,5.58
0.05,2016-10-23,10,23,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,76,84,67,7,5.82
0,2016-10-30,10,30,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,74,84,64,6,4
0.01,2016-11-06,11,6,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,76,85,67,7,6.3
2.06,2016-11-13,11,13,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,67,72,61,8,7.17
0.05,2016-11-20,11,20,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,62,73,51,19,4.91
0,2016-11-27,11,27,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,60,71,49,7,4.28
0.98,2016-12-04,12,4,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,58,65,52,5,8.27
2.31,2016-12-11,12,11,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,54,60,47,9,7.65
1.98,2016-12-18,12,18,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,63,72,53,20,7.58
0.01,2016-12-25,12,25,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,57,65,49,7,6.14
0.09,2016-07-03,7,3,2016,Homer,HOM,"Homer, AK",Alaska,56,60,52,14,2.53
0.41,2016-07-10,7,10,2016,Homer,HOM,"Homer, AK",Alaska,56,62,50,24,2.58
0.01,2016-07-17,7,17,2016,Homer,HOM,"Homer, AK",Alaska,58,66,50,22,3.98
0.52,2016-07-24,7,24,2016,Homer,HOM,"Homer, AK",Alaska,59,65,53,24,5.7
0.53,2016-07-31,7,31,2016,Homer,HOM,"Homer, AK",Alaska,58,62,52,16,3.17
1.69,2016-08-07,8,7,2016,Homer,HOM,"Homer, AK",Alaska,58,63,53,17,2.54
0.6,2016-08-14,8,14,2016,Homer,HOM,"Homer, AK",Alaska,57,62,52,12,2.87
0.15,2016-08-21,8,21,2016,Homer,HOM,"Homer, AK",Alaska,58,63,52,18,2.87
