Data.Precipitation,Date.Full,Date.Month,Date.Week of,Date.Year,Station.City,Station.Code,Station.Location,Station.State,Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
0.59,2016-01-03,1,3,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,50,54,46,13,11.93
0.75,2016-01-10,1,10,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,54,61,47,14,8.84
1.4,2016-01-17,1,17,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,53,62,44,16,6.21
0.33,2016-01-24,1,24,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,52,60,43,17,9.07
1.34,2016-01-31,1,31,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,58,68,47,21,8.45
1.05,2016-02-07,2,7,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,55,66,49,19,8.57
0,2016-02-14,2,14,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,56,66,45,22,9.62
0.64,2016-02-21,2,21,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,63,74,52,15,6.22
2.03,2016-02-28,2,28,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,58,67,48,18,8.35
0.03,2016-03-06,3,6,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,64,74,53,15,5.66
1.83,2016-03-13,3,13,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,72,77,66,14,12.64
2.29,2016-03-20,3,20,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,70,77,61,22,9.07
2.06,2016-03-27,3,27,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,63,71,55,16,7.2
4,2016-04-03,4,3,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,64,73,55,34,8.6
0,2016-04-10,4,10,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,68,78,57,23,5.54
2.74,2016-04-17,4,17,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,71,75,66,10,10.58
0.52,2016-04-24,4,24,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,73,81,66,20,7.4
1.98,2016-05-01,5,1,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,74,78,69,13,5.8
0.01,2016-05-08,5,8,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,71,79,63,21,6.18
0,2016-05-15,5,15,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,79,86,71,20,6.57
2.11,2016-05-22,5,22,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,78,85,71,17,5.31
0.07,2016-05-29,5,29,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,80,88,72,12,6.95
4.01,2016-06-05,6,5,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,81,89,73,15,6
0.93,2016-06-12,6,12,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,84,91,77,9,4.34
3.69,2016-06-19,6,19,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,84,91,76,21,5.18
0.01,2016-06-26,6,26,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,94,77,19,3.55
0.14,2016-07-03,7,3,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,88,96,79,24,3.06
1.61,2016-07-10,7,10,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,88,95,80,19,6.84
1.47,2016-07-17,7,17,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,85,92,78,16,2.37
0.4,2016-07-24,7,24,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,87,94,80,14,2.45
0.83,2016-07-31,7,31,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,92,78,19,3.12
2.69,2016-08-07,8,7,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,87,95,79,25,2.64
4.61,2016-08-14,8,14,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,83,88,77,24,7.77
2.69,2016-08-21,8,21,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,92,79,16,4.68
1.88,2016-08-28,8,28,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,93,79,15,3.25
0.36,2016-09-04,9,4,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,89,96,81,6,4.65
3.3,2016-09-11,9,11,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,84,91,77,12,3.15
0.65,2016-09-18,9,18,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,84,90,78,11,5.81
0.32,2016-09-25,9,25,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,86,94,78,18,2.7
0,2016-10-02,10,2,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,78,86,69,4,3.95
0,2016-10-09,10,9,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,81,89,73,5,7.91
0,2016-10-16,10,16,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,79,88,69,8,5.58
0.05,2016-10-23,10,23,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,76,84,67,7,5.82
0,2016-10-30,10,30,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,74,84,64,6,4
0.01,2016-11-06,11,6,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,76,85,67,7,6.3
2.06,2016-11-13,11,13,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,67,72,61,8,7.17
0.05,2016-11-20,11,20,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,62,73,51,19,4.91
0,2016-11-27,11,27,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,60,71,49,7,4.28
0.98,2016-12-04,12,4,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,58,65,52,5,8.27
2.31,2016-12-11,12,11,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,54,60,47,9,7.65
1.98,2016-12-18,12,18,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,63,72,53,20,7.58
0.01,2016-12-25,12,25,2016,New Orleans,MSY,"New Orleans, LA",Louisiana,57,65,49,7,6.14
1.22,2016-01-03,1,3,2016,Homer,HOM,"Homer, AK",Alaska,39,42,35,9,11.26
1.75,2016-01-10,1,10,2016,Homer,HOM,"Homer, AK",Alaska,37,42,31,7,9.45
0.46,2016-01-17,1,17,2016,Homer,HOM,"Homer, AK",Alaska,29,34,24,4,2.5
0.22,2016-01-24,1,24,2016,Homer,HOM,"Homer, AK",Alaska,32,36,27,6,3.67
0.85,2016-01-31,1,31,2016,Homer,HOM,"Homer, AK",Alaska,35,39,30,8,6.97
1.06,2016-02-07,2,7,2016,Homer,HOM,"Homer, AK",Alaska,35,40,29,6,8.34
0.69,2016-02-14,2,14,2016,Homer,HOM,"Homer, AK",Alaska,37,41,32,6,6.31
1.92,2016-02-21,2,21,2016,Homer,HOM,"Homer, AK",Alaska,32,37,26,7,4.27
1.53,2016-02-28,2,28,2016,Homer,HOM,"Homer, AK",Alaska,38,43,33,7,9.25
0.14,2016-03-06,3,6,2016,Homer,HOM,"Homer, AK",Alaska,33,39,25,6,3.83
0.15,2016-03-13,3,13,2016,Homer,HOM,"Homer, AK",Alaska,37,44,29,13,3.32
0.37,2016-03-20,3,20,2016,Homer,HOM,"Homer, AK",Alaska,33,39,26,13,3.61
0.14,2016-03-27,3,27,2016,Homer,HOM,"Homer, AK",Alaska,41,46,35,12,3.68
0.04,2016-04-03,4,3,2016,Homer,HOM,"Homer, AK",Alaska,42,48,36,14,4.43
1.02,2016-04-10,4,10,2016,Homer,HOM,"Homer, AK",Alaska,41,48,34,13,5.9
0.35,2016-04-17,4,17,2016,Homer,HOM,"Homer, AK",Alaska,42,50,34,14,2.61
0.02,2016-04-24,4,24,2016,Homer,HOM,"Homer, AK",Alaska,45,53,37,13,3.2
0.12,2016-05-01,5,1,2016,Homer,HOM,"Homer, AK",Alaska,44,51,37,8,6.3
0.2,2016-05-08,5,8,2016,Homer,HOM,"Homer, AK",Alaska,44,51,37,16,3.94
0.15,2016-05-15,5,15,2016,Homer,HOM,"Homer, AK",Alaska,50,59,41,19,3.25
0.2,2016-05-22,5,22,2016,Homer,HOM,"Homer, AK",Alaska,49,54,43,22,5.72
0.02,2016-05-29,5,29,2016,Homer,HOM,"Homer, AK",Alaska,50,60,40,24,5.92
0.02,2016-06-05,6,5,2016,Homer,HOM,"Homer, AK",Alaska,53,59,46,21,3.3
0.67,2016-06-12,6,12,2016,Homer,HOM,"Homer, AK",Alaska,51,58,44,22,2.94
0.03,2016-06-19,6,19,2016,Homer,HOM,"Homer, AK",Alaska,54,60,47,22,4.74
0.06,2016-06-26,6,26,2016,Homer,HOM,"Homer, AK",Alaska,56,63,48,21,4.07
0.09,2016-07-03,7,3,2016,Homer,HOM,"Homer, AK",Alaska,56,60,52,14,2.53
0.41,2016-07-10,7,10,2016,Homer,HOM,"Homer, AK",Alaska,56,62,50,24,2.58
0.01,2016-07-17,7,17,2016,Homer,HOM,"Homer, AK",Alaska,58,66,50,22,3.98
0.52,2016-07-24,7,24,2016,Homer,HOM,"Homer, AK",Alaska,59,65,53,24,5.7
0.53,2016-07-31,7,31,2016,Homer,HOM,"Homer, AK",Alaska,58,62,52,16,3.17
1.69,2016-08-07,8,7,2016,Homer,HOM,"Homer, AK",Alaska,58,63,53,17,2.54
0.6,2016-08-14,8,14,2016,Homer,HOM,"Homer, AK",Alaska,57,62,52,12,2.87
0.15,2016-08-21,8,21,2016,Homer,HOM,"Homer, AK",Alaska,58,63,52,18,2.87
0.77,2016-08-28,8,28,2016,Homer,HOM,"Homer, AK",Alaska,60,67,51,17,1.18
0.43,2016-09-04,9,4,2016,Homer,HOM,"Homer, AK",Alaska,55,63,47,15,1.52
1.27,2016-09-11,9,11,2016,Homer,HOM,"Homer, AK",Alaska,54,61,46,22,2.95
1.3,2016-09-18,9,18,2016,Homer,HOM,"Homer, AK",Alaska,52,59,45,16,5.37
1.86,2016-09-25,9,25,2016,Homer,HOM,"Homer, AK",Alaska,50,56,43,18,4.57
0.01,2016-10-02,10,2,2016,Homer,HOM,"Homer, AK",Alaska,48,55,40,6,2.3
0.1,2016-10-09,10,9,2016,Homer,HOM,"Homer, AK",Alaska,45,54,35,11,2.72
0,2016-10-16,10,16,2016,Homer,HOM,"Homer, AK",Alaska,45,52,37,6,7.2
0.28,2016-10-23,10,23,2016,Homer,HOM,"Homer, AK",Alaska,38,45,31,8,5.61
0.24,2016-10-30,10,30,2016,Homer,HOM,"Homer, AK",Alaska,41,48,34,11,2.62
1.37,2016-11-06,11,6,2016,Homer,HOM,"Homer, AK",Alaska,35,42,29,4,3.36
1.37,2016-11-13,11,13,2016,Homer,HOM,"Homer, AK",Alaska,39,44,34,4,5.15
0.14,2016-11-20,11,20,2016,Homer,HOM,"Homer, AK",Alaska,30,35,24,4,4.75
0.57,2016-11-27,11,27,2016,Homer,HOM,"Homer, AK",Alaska,30,37,22,7,4.14
0.13,2016-12-04,12,4,2016,Homer,HOM,"Homer, AK",Alaska,20,25,15,10,5.27
0.08,2016-12-11,12,11,2016,Homer,HOM,"Homer, AK",Alaska,20,26,13,4,4.81
0.51,2016-12-18,12,18,2016,Homer,HOM,"Homer, AK",Alaska,29,36,22,7,4.37
1.31,2016-12-25,12,25,2016,Homer,HOM,"Homer, AK",Alaska,27,32,21,4,4.75
0.04,2016-01-03,1,3,2016,San Francisco,SFO,"San Francisco, CA",California,46,51,41,10,4.43
2.17,2016-01-10,1,10,2016,San Francisco,SFO,"San Francisco, CA",California,51,54,47,10,4.45
1.39,2016-01-17,1,17,2016,San Francisco,SFO,"San Francisco, CA",California,54,58,49,16,5.37
1.91,2016-01-24,1,24,2016,San Francisco,SFO,"San Francisco, CA",California,55,59,50,19,5.95
0.07,2016-01-31,1,31,2016,San Francisco,SFO,"San Francisco, CA",California,53,58,49,18,5.97
0.18,2016-02-07,2,7,2016,San Francisco,SFO,"San Francisco, CA",California,52,59,45,11,4.31
0,2016-02-14,2,14,2016,San Francisco,SFO,"San Francisco, CA",California,59,67,50,20,5.05
0.67,2016-02-21,2,21,2016,San Francisco,SFO,"San Francisco, CA",California,57,66,49,22,6.14
0,2016-02-28,2,28,2016,San Francisco,SFO,"San Francisco, CA",California,59,67,50,28,4.32
2.73,2016-03-06,3,6,2016,San Francisco,SFO,"San Francisco, CA",California,60,65,54,22,7.06
2.29,2016-03-13,3,13,2016,San Francisco,SFO,"San Francisco, CA",California,56,60,51,21,9.52
0.11,2016-03-20,3,20,2016,San Francisco,SFO,"San Francisco, CA",California,59,66,50,25,6.31
0.01,2016-03-27,3,27,2016,San Francisco,SFO,"San Francisco, CA",California,57,64,50,26,13.07
0,2016-04-03,4,3,2016,San Francisco,SFO,"San Francisco, CA",California,58,63,52,28,11.23
0.6,2016-04-10,4,10,2016,San Francisco,SFO,"San Francisco, CA",California,63,70,55,24,6.21
0.03,2016-04-17,4,17,2016,San Francisco,SFO,"San Francisco, CA",California,59,68,52,27,10.17
0.15,2016-04-24,4,24,2016,San Francisco,SFO,"San Francisco, CA",California,62,70,54,26,10.94
0,2016-05-01,5,1,2016,San Francisco,SFO,"San Francisco, CA",California,67,80,54,28,1.3
0.05,2016-05-08,5,8,2016,San Francisco,SFO,"San Francisco, CA",California,59,67,53,25,8.2
0,2016-05-15,5,15,2016,San Francisco,SFO,"San Francisco, CA",California,60,67,53,27,11.4
0,2016-05-22,5,22,2016,San Francisco,SFO,"San Francisco, CA",California,62,69,54,27,14.47
0,2016-05-29,5,29,2016,San Francisco,SFO,"San Francisco, CA",California,62,70,54,28,10.84
0,2016-06-05,6,5,2016,San Francisco,SFO,"San Francisco, CA",California,65,76,54,30,9.86
0,2016-06-12,6,12,2016,San Francisco,SFO,"San Francisco, CA",California,63,71,55,26,12.67
0,2016-06-19,6,19,2016,San Francisco,SFO,"San Francisco, CA",California,63,71,55,26,12.35
0,2016-06-26,6,26,2016,San Francisco,SFO,"San Francisco, CA",California,64,72,54,28,16
0,2016-07-03,7,3,2016,San Francisco,SFO,"San Francisco, CA",California,63,72,54,32,7.66
0,2016-07-10,7,10,2016,San Francisco,SFO,"San Francisco, CA",California,62,69,55,27,12.98
0,2016-07-17,7,17,2016,San Francisco,SFO,"San Francisco, CA",California,63,71,54,29,11.82
0,2016-07-24,7,24,2016,San Francisco,SFO,"San Francisco, CA",California,62,69,55,27,15.51
0,2016-07-31,7,31,2016,San Francisco,SFO,"San Francisco, CA",California,63,73,53,29,11.97
0,2016-08-07,8,7,2016,San Francisco,SFO,"San Francisco, CA",California,63,70,55,27,11.07
0,2016-08-14,8,14,2016,San Francisco,SFO,"San Francisco, CA",California,64,72,55,29,10.7
0,2016-08-21,8,21,2016,San Francisco,SFO,"San Francisco, CA",California,64,70,56,29,11.27
0,2016-08-28,8,28,2016,San Francisco,SFO,"San Francisco, CA",California,64,70,58,26,9.67
0,2016-09-04,9,4,2016,San Francisco,SFO,"San Francisco, CA",California,62,68,56,26,12.47
0,2016-09-11,9,11,2016,San Francisco,SFO,"San Francisco, CA",California,65,74,55,28,8.94
0,2016-09-18,9,18,2016,San Francisco,SFO,"San Francisco, CA",California,63,72,55,26,9.1
0,2016-09-25,9,25,2016,San Francisco,SFO,"San Francisco, CA",California,67,77,57,28,11.31
0,2016-10-02,10,2,2016,San Francisco,SFO,"San Francisco, CA",California,62,68,55,27,14.85
0,2016-10-09,10,9,2016,San Francisco,SFO,"San Francisco, CA",California,65,75,54,26,6.57
1.3,2016-10-16,10,16,2016,San Francisco,SFO,"San Francisco, CA",California,61,68,56,22,8.41
0,2016-10-23,10,23,2016,San Francisco,SFO,"San Francisco, CA",California,63,70,55,27,7.44
1.45,2016-10-30,10,30,2016,San Francisco,SFO,"San Francisco, CA",California,64,68,59,17,7.8
0.02,2016-11-06,11,6,2016,San Francisco,SFO,"San Francisco, CA",California,61,68,54,26,3.21
