Entity,Code,Year,total_precipitation
Bangladesh,BGD,1995,2353.1633
Bangladesh,BGD,1996,2336.5667
Bangladesh,BGD,1997,2300.5945
Bangladesh,BGD,1998,2504.117
Bangladesh,BGD,1999,2145.7375
Bangladesh,BGD,2000,2380.9724
Bangladesh,BGD,2001,2287.9595
Bangladesh,BGD,2002,2529.2979
Bangladesh,BGD,2003,2140.1438
Bangladesh,BGD,2004,2598.2327
Bangladesh,BGD,2005,2131.0464
Ecuador,ECU,1995,3073.977
Ecuador,ECU,1996,2852.1826
Ecuador,ECU,1997,4195.349
Ecuador,ECU,1998,4267.0137
Ecuador,ECU,1999,3350.052
Ecuador,ECU,2000,3187.6357
Ecuador,ECU,2001,3106.6458
Ecuador,ECU,2002,3243.8533
Ecuador,ECU,2003,3018.2407
Ecuador,ECU,2004,2790.1672
Ecuador,ECU,2005,2654.2468
New Zealand,NZL,1995,1754.1616
New Zealand,NZL,1996,1622.5159
New Zealand,NZL,1997,1485.5032
New Zealand,NZL,1998,1678.6868
New Zealand,NZL,1999,1433.1033
New Zealand,NZL,2000,1550.448
New Zealand,NZL,2001,1446.8987
New Zealand,NZL,2002,1532.0719
New Zealand,NZL,2003,1441.8708
New Zealand,NZL,2004,1729.3496
New Zealand,NZL,2005,1319.5797
Papua New Guinea,PNG,1995,4126.8667
Papua New Guinea,PNG,1996,3816.1294
Papua New Guinea,PNG,1997,2787.8438
Papua New Guinea,PNG,1998,4028.5552
Papua New Guinea,PNG,1999,3690.3867
Papua New Guinea,PNG,2000,3868.7263
Papua New Guinea,PNG,2001,3836.5225
Papua New Guinea,PNG,2002,3336.358
Papua New Guinea,PNG,2003,3803.6758
Papua New Guinea,PNG,2004,3531.9973
Papua New Guinea,PNG,2005,3995.5315
South Korea,KOR,1995,998.6537
South Korea,KOR,1996,1123.1506
South Korea,KOR,1997,1208.8267
South Korea,KOR,1998,1638.8986
South Korea,KOR,1999,1585.3864
South Korea,KOR,2000,1256.1572
South Korea,KOR,2001,1040.1588
South Korea,KOR,2002,1401.8549
South Korea,KOR,2003,1685.1082
South Korea,KOR,2004,1250.0903
South Korea,KOR,2005,1098.1471
Sudan,SDN,1995,239.08878
Sudan,SDN,1996,285.59717
Sudan,SDN,1997,259.6767
Sudan,SDN,1998,262.6078
Sudan,SDN,1999,267.09677
Sudan,SDN,2000,195.0323
Sudan,SDN,2001,231.50298
Sudan,SDN,2002,182.26881
Sudan,SDN,2003,227.952
Sudan,SDN,2004,180.23932
Sudan,SDN,2005,229.9619
Thailand,THA,1995,1767.7208
Thailand,THA,1996,1815.7355
Thailand,THA,1997,1492.8912
Thailand,THA,1998,1425.8633
Thailand,THA,1999,1931.7089
Thailand,THA,2000,1927.4663
Thailand,THA,2001,1713.444
Thailand,THA,2002,1749.2472
Thailand,THA,2003,1490.1594
Thailand,THA,2004,1398.3904
Thailand,THA,2005,1609.8585
